Procedure Name,Procedure Category,Visit Type Name,Visit Type Length,Department Name,Resource Name,Associated Blocks Available (all locations),OP Order Question Names,OP Order Question Prompts,OP Order Question Advised?,OP Order Question Override EDP?
NM SPECT CT,IMG NM ORDERABLES,NM SPECT CT,60,"1155 NORTHERN BLVD RAD CT
MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE","DOCMH CT 1
MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 1
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSM NM 1
MSM NM 2",,,,,
NM HEPATIC HEMANGIOMA SPECT,IMG NM ORDERABLES,"NM HEMANGIOMA RBC BLOODWORK
NM SPECT","120
60","MSB RAD NUCLEAR MEDICINE
MSH RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
5 CUBA HILL RAD NUCLEAR MEDICINE
1155 NORTHERN BLVD RAD CT
341 CENTRAL PARK AVE RAD NUCLEAR MEDICINE
MSB RAD NUCLEAR MEDICINE
MSH RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM","MSB NM 1
MSH NM PREP
MSM NM PREP
MSQ NM 1
MSW NM PREP
NY NM 1
NY NM 2
RA NM PREP
DOCCU NM 1
DOCMH CT 1
DOCSC NM 1
MSB NM 1
MSH NM 1
MSH NM 2
MSH NM 3
MSM NM 1
MSM NM 2
MSQ NM 1
MSW NM 1
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSSN NM 1
MSSN NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?","No
No
No",
NM LYMPHOSCINTIGRAM,IMG NM ORDERABLES,"NM LYMPHOSCINT INJECTION
NM LYMPHOSCINT SCAN","45
45","MSH RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE","MSH NM PREP
MSM NM PREP
MSW NM PREP
MSQ NM 1
MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 1
MSW NM 2
MSM NM 1
MSM NM 2
MSQ NM 1
MSH NM 4",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM55 SITE SIDE FOR LYMPHOSCINTIGRAPHY INJECTION ORDER QUESTION
MSHS RIS NM55 SAME DAY OR NEXT DAY SURGERY ORDER QUESTION","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Where is the site(s) / side(s) for lymphoscrintigraphy injection?
Is the surgery on the same day or next day?","No
No
No
No",
NM THYROGEN WB SCAN,IMG NM ORDERABLES,NM THYROGEN WB,15,"MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
MSB RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM PREP
MSW NM PREP
NY NM 1
MSQ NM 1
MSB NM 1
NY NM 2
RA NM PREP
MSSN NM 1
MSSN NM 2",,,,,
NM THYROGEN INJECTION 2,IMG NM ORDERABLES,NM THYROGEN INJECTION 2,15,"MSH RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM PREP
RA NM PREP
MSW NM PREP
MSSN NM 2
MSSN NM 1",,,,,
NM Y90 SIRSPHERE IMAGING,IMG NM ORDERABLES,NM Y90 SIRSPHERE SCAN,45,"MSH RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM 1
MSH NM 2
MSH NM 3
MSH NM 4
MSSN NM 2
MSSN NM 1",,,,,
NM THYROID I123 UPTAKE AND SCAN,IMG NM ORDERABLES,"NM THYROID I123 DOSING
NM THYROID I123 PLANAR PINHOLE","30
60","MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM
MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM PREP
MSW NM PREP
NY NM 1
NY NM 2
RA NM PREP
MSSN NM PREP 1
MSSN NM PREP 2
MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 1
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSSN NM 1
MSSN NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION
MSHS RIS NM12 THYROID MEDICATIONS ORDER QUESTION
NUCLEAR MEDICINE NO CAT SCAN","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?
Is the patient taking thyroid medications?
Has Patient had a CT With Contrast in the past 6 weeks? (If the answer to this question is yes, this procedure cannot be performed)","No
No
No
No
Yes",
NM Y90 THERASPHERE IMAGING,IMG NM ORDERABLES,NM Y90 THERASPHERE SCAN,45,"MSH RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM 1
MSH NM 2
MSH NM 3
MSH NM 4
MSSN NM 2
MSSN NM 1",,,,,
NM HEPATOBILIARY W PHARMACEUTICAL,IMG NM ORDERABLES,"NM HEPATOBILIARY PREP
NM HEPATOBILIARY INJECTION AND SCAN","30
120","MSH RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
MSB RAD NUCLEAR MEDICINE
5 CUBA HILL RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM
MSH RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
MSB RAD NUCLEAR MEDICINE
5 CUBA HILL RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM PREP
MSM NM PREP
MSW NM PREP
NY NM 1
MSQ NM 1
MSB NM 1
DOCCU NM 1
NY NM 2
RA NM PREP
MSSN NM PREP 1
MSSN NM PREP 2
MSH NM 1
MSH NM 2
MSH NM 3
MSM NM 1
MSM NM 2
MSW NM 1
MSW NM 2
NY NM 1
MSQ NM 1
MSB NM 1
DOCCU NM 1
MSH NM 4
NY NM 2
MSSN NM 1
MSSN NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION
MSHS RIS NM23 HIDA FASTING REQUIREMENTS ORDER QUESTION
MSHS RIS NM23 FASTING MORE THAN 24 HOURS ORDER QUESTION
MSHS RIS NM23 HIDA CONTRAINDICATED MEDS ORDER QUESTION
MSHS RIS NM23 SERUM BILIRUBIN ORDER QUESTION
MSHS RIS NM24 IS MORPHINE SULFATE CONTRAINDICATED ORDER QUESTION","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?
Does the patient meet the fasting requirements for Hepatobiliary scan?
Has the patient been fasting for longer than 24 hours (Including those on total parenteral nutrition)?
Is the patient taking any medications contraindicated for the Hepatobiliary scan?
Is the patient's serum bilirubin below 20-30 mg/dL?
Is morphine sulfate contraindicated if needed in cases with delayed gallbladder uptake of HIDA uptake?","No
No
No
No
No
No
No
No",
NM MYOC REST STRESS SPECT,IMG NM ORDERABLES,NM MYOC REST STRESS SPECT,45,"MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
5 CUBA HILL RAD NUCLEAR MEDICINE
1155 NORTHERN BLVD RAD CT
MSSN RAD NM","MSM NM 1
MSM NM 2
MSW NM 2
DOCCU NM 1
DOCMH CT 1
MSSN NM 1
MSSN NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?","No
No
No",
NM LUNG QD FUNC VENT / PERF,IMG NM ORDERABLES,"NM LUNG QD VENT DOSING AND SCAN
NM LUNG QD VENT PERFUSION INJ AND SCAN","90
90","MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM
MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSSN NM PREP 1
MSSN NM PREP 2
MSSN NM 2
MSSN NM 1
MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSSN NM PREP 1
MSSN NM PREP 2
MSSN NM 1
MSSN NM 2",,"HISTORY OF PULMONARY HYPERTENSION?
MSHS RIS NM CHEST XR","History of Pulmonary Hypertension?
Has the patient had a Chest XR within 24 hours of this scan?","Yes
Yes",
NM LUNG VENT ONLY,IMG NM ORDERABLES,NM LUNG VENT DOSING ONLY SCAN,60,"MSH RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
MSB RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE","MSH NM 1
MSH NM 2
MSH NM 3
MSQ NM 1
MSB NM 1
NY NM 1
MSM NM 1
MSM NM 2
MSH NM 4
NY NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION
HISTORY OF PULMONARY HYPERTENSION?
MSHS RIS NM CHEST XR","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?
History of Pulmonary Hypertension?
Has the patient had a Chest XR within 24 hours of this scan?","No
No
No
Yes
Yes",
NM GALLIUM-67 SPECT CT,IMG NM ORDERABLES,"NM GALLIUM-67 INJECTION
NM GALLIUM-67 SCAN
NM GALLIUM-67 SCAN
NM GALLIUM-67 SCAN","30
45
45
45","MSB RAD NUCLEAR MEDICINE
MSH RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM
MSB RAD NUCLEAR MEDICINE
MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSSN RAD NM","MSB NM 1
MSH NM PREP
MSM NM PREP
MSQ NM 1
MSW NM PREP
NY NM 1
NY NM 2
RA NM PREP
MSSN NM PREP 1
MSSN NM PREP 2
MSB NM 1
MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 1
MSW NM 2
MSQ NM 1
NY NM 1
MSH NM 4
NY NM 2
MSM NM 1
MSM NM 2
MSSN NM 1
MSSN NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?","No
No
No",
NM INJECTION SENTINEL ND BREAST,IMG NM ORDERABLES,NM INJ SEN ND BREAST,45,"MSH RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
325 W 15TH ST RAD MAMMOGRAPHY
MSB RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM PREP
MSM NM PREP
MSW NM PREP
MSQ NM 1
BC MAMMO STEREOTACTIC RM
MSB NM 1
NY NM 1
NY NM 2
RA NM PREP
MSM NM 1
MSM NM 2
MSW NM 1
MSW NM 2
MSSN NM PREP 1
MSSN NM PREP 2
MSSN NM 1
MSSN NM 2",,,,,
NM MUGA SCAN IN VIVO,IMG NM ORDERABLES,"NM MUGA IN VIVO LABELLING
NM MUGA IN VIVO INJ AND SCAN","90
45","MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
5 CUBA HILL RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
1155 NORTHERN BLVD RAD CT
MSSN RAD NM
MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
5 CUBA HILL RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
1155 NORTHERN BLVD RAD CT
MSSN RAD NM","MSH NM PREP
MSW NM PREP
NY NM 1
DOCCU NM 1
NY NM 2
RA NM PREP
DOCMH CT 1
MSSN NM PREP 1
MSSN NM PREP 2
MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 1
MSW NM 2
NY NM 1
DOCCU NM 1
MSH NM 4
NY NM 2
DOCMH CT 1
MSSN NM 1
MSSN NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?","No
No
No",
NM BONE MARROW SCAN LTD,IMG NM ORDERABLES,"NM BONE MARROW LTD TC SULFUR COLLOID INJ
NM BONE MARROW LTD SPOT VIEW","30
45","MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
MSB RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM
MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
MSB RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM PREP
MSW NM PREP
MSM NM PREP
NY NM 1
NY NM 2
MSB NM 1
RA NM PREP
MSSN NM PREP 1
MSSN NM PREP 2
MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 1
MSW NM 2
MSM NM 1
MSM NM 2
NY NM 1
MSH NM 4
NY NM 2
MSB NM 1
MSSN NM 1
MSSN NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?","No
No
No",
NM LIVER SPLEEN SCAN,IMG NM ORDERABLES,"NM LIVER SPLEEN TC SULFUR COLLOID INJECTION
NM LIVER SPLEEN SCAN","30
45","MSH RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
5 CUBA HILL RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
1155 NORTHERN BLVD RAD CT
MSSN RAD NM
MSH RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
5 CUBA HILL RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
1155 NORTHERN BLVD RAD CT
MSSN RAD NM","MSH NM PREP
MSM NM PREP
MSW NM PREP
NY NM 1
DOCCU NM 1
NY NM 2
RA NM PREP
DOCMH CT 1
MSSN NM PREP 1
MSSN NM PREP 2
MSH NM 1
MSH NM 2
MSH NM 3
MSM NM 1
MSM NM 2
MSW NM 1
MSW NM 2
DOCCU NM 1
MSH NM 4
DOCMH CT 1
MSSN NM 1
MSSN NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?","No
No
No",
NM LUNG PERF ONLY,IMG NM ORDERABLES,"NM LUNG PERF ONLY INJ AND SCAN
NM LUNG PERF SPECT CT","90
60","MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM
MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSSN NM 1
MSSN NM 2
MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 1
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSM NM 1
MSM NM 2
MSQ NM 1
MSSN NM 1
MSSN NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION
HISTORY OF PULMONARY HYPERTENSION?
MSHS RIS NM CHEST XR","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?
History of Pulmonary Hypertension?
Has the patient had a Chest XR within 24 hours of this scan?","No
No
No
Yes
Yes",
NM MECKELS,IMG NM ORDERABLES,"NM MECKELS IV PLACEMENT
NM MECKELS INJECTION AND SCAN","45
60","MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
MSB RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM
MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
MSQ IP RAD NUCLEAR MEDICINE
MSB RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM PREP
MSW NM PREP
MSM NM PREP
NY NM 1
MSQ NM 1
MSB NM 1
NY NM 2
RA NM PREP
MSSN NM PREP 1
MSSN NM PREP 2
MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 1
MSW NM 2
MSM NM 1
MSM NM 2
NY NM 1
MSQ NM 1
MSB NM 1
MSH NM 4
NY NM 2
MSSN NM 1
MSSN NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?","No
No
No",
NM MYOCARDIUM REST SPECT,IMG NM ORDERABLES,"NM MYOC REST INJECTION
NM MYOC REST SPECT","30
60","MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
5 CUBA HILL RAD NUCLEAR MEDICINE
1155 NORTHERN BLVD RAD CT
MSSN RAD NM
1155 NORTHERN BLVD RAD CT
MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
5 CUBA HILL RAD NUCLEAR MEDICINE","MSM NM PREP
MSW NM PREP
DOCCU NM 1
DOCMH CT 1
MSSN NM PREP 2
DOCMH CT 1
MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 1
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSM NM 1
MSM NM 2
DOCCU NM 1",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?","No
No
No",
NM OCTREOTIDE,IMG NM ORDERABLES,"NM OCTREOTIDE INJECTION
NM OCTREOTIDE SCAN
NM OCTREOTIDE SCAN","45
45
45","MSH RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
MSSN RAD NM
MSH RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM PREP
RA NM PREP
MSM NM PREP
MSW NM PREP
MSSN NM PREP 1
MSSN NM PREP 2
MSH NM 1
MSH NM 2
MSH NM 3
MSH NM 4
MSM NM 1
MSM NM 2
MSW NM 1
MSW NM 2
MSSN NM 1
MSSN NM 2",,"MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION","Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?","No
No
No",
NM PARATHYROID IODINE MIBI SPECT CT,IMG NM ORDERABLES,"NM PARATHYROID IODINE MIBI - I123 DOSING AND SCAN
NM PARATHYROID IODINE MIBI - MIBI INJ AND SCAN","30
240","MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM
MSH RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 1
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSSN NM 1
MSSN NM 2
MSH NM 1
MSH NM 2
MSH NM 3
MSW NM 1
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSSN NM 1
MSSN NM 2",,"NUCLEAR MEDICINE NO CAT SCAN
MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION
MSHS RIS NM12 THYROID MEDICATIONS ORDER QUESTION","Has Patient had a CT With Contrast in the past 6 weeks? (If the answer to this question is yes, this procedure cannot be performed)
Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?
Is the patient taking thyroid medications?","Yes
No
No
No
No",
NM PARATHYROID MIBI TC SPECT CT,IMG NM ORDERABLES,"NM PARATHYROID MIBI TC - MIBI INJ AND SCAN
NM PARATHYROID MIBI TC - TC04 INJ AND SCAN","45
180","MSH RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM
MSH RAD NUCLEAR MEDICINE
MSM RAD NUCLEAR MEDICINE
MSW RAD NUCLEAR MEDICINE
55 E 34TH ST RAD NUCLEAR MEDICINE
1468 MADISON AVE RAD NUCLEAR MEDICINE
MSSN RAD NM","MSH NM 1
MSH NM 2
MSH NM 3
MSM NM 1
MSM NM 2
MSW NM 1
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSSN NM PREP 1
MSSN NM PREP 2
MSH NM 1
MSH NM 2
MSH NM 3
MSM NM 1
MSM NM 2
MSW NM 1
MSW NM 2
NY NM 1
MSH NM 4
NY NM 2
MSSN NM 1
MSSN NM 2",,"NUCLEAR MEDICINE NO CAT SCAN
MSHS RIS ARE YOU PREGNANT W UNKNOWN
MSHS RIS NM2 RECENT RADIOACTIVITY ORDER QUESTION
MSHS RIS NM5 DIFFICULT IV ACCESS ORDER QUESTION
MSHS RIS NM12 THYROID MEDICATIONS ORDER QUESTION","Has Patient had a CT With Contrast in the past 6 weeks? (If the answer to this question is yes, this procedure cannot be performed)
Is the patient pregnant?
Was the patient administered any recent radioactivity for diagnostic nuclear cardiology or nuclear medicine procedures?
Is there difficulty in obtaining peripheral intravenous access?
Is the patient taking thyroid medications?","Yes
No
No
No
No",
